id,name,description,source,source_collection_id,has_valid_ranks,included_in_trial,nfts_minted,nft_count,mint_price,royalties_fee,available_from,twitter_username,discord_username,created_at,updated_at
"c85f7c40-027a-11ed-8000-010000000000","iotapes.","***DISCLAIMER:** You DO NOT need to buy the NFT to become part of our community. Everyone who will respect our community guidelines is welcome to join our **[media channels](https://linktr.ee/iotapes)**.*\n\\n\\nKindly first **read more** about our project in this Medium post: https://iotapes.medium.com/about-us-6846092db31e\n\\n\\nOur NFT collection is made of 1074 unique apes. Each ape was randomly generated by combining 105 traits over 8 different categories. The designer of our collection is a great artist named **[BingoBongoApe](https://twitter.com/BingoBongo_ape)** aka “Macaulay Culkin” on our Discord server. Feel free to give him a shoutout when you see him, he has done a great job!\n\\n\\n**Fair launch.** All apes from the collection will be offered for sale. Whoever wants to join the NFT project will need to buy NFTs, even the founder himself. No NFTs will be held for “marketing”, “team” or any other purposes.\n\\n\\n100% of the proceeds from the NFT sales will go towards forming a treasury so each NFT owner is becoming a shareholder in our treasury and a DAO participant. Collection has **10% royalty fee** which goes to treasury as well.\n\\n\\nThe treasury will later be used to earn profits from the upcoming DeFi protocols on IOTA. All NFT owners decide on what to do with the treasury, i.e. distribute profits to holders or accumulate profits to increase the size of the treasury.\n\\n\\n**Floor price.** By setting up the collection as stated above, each NFT gets a “price floor” of 1/1074 * Treasury value. This is only a speculation and the actual market price of each NFT can be lower or higher than that.\n\\n\\n**Rarity.** Since the collection is generative, each ape will have a certain rarity score. If you are interested in apes with higher rarity score (rarer apes) then stay tuned to our Discord server because we will leak a tool to find out rarity a bit before the collection launches.\n\\n\\nRarity score was calculated by applying this method. https://raritytools.medium.com/ranking-rarity-understanding-rarity-calculation-methods-86ceaeb9b98c\n\\n\\nCheck rarity score via this tool: https://datastudio.google.com/s/geF-1oqWYYQ\n\\n\\n**No matter how rare or common your ape is they all have the SAME utility.**","soonaverse","0x3dfb05c0613f059c4ec2c4d848cddea26bd2b480",true,true,1074,1074,200000000,0.1,"2022-04-16T20:00:00.000Z","iotapes",,"2022-04-06T19:45:50.932Z","2022-04-17T08:13:30.220Z"
"d8755ff0-027a-11ed-8000-010000000000","Meowta: Ninja Cats","Meowta: Ninja Cats are 4,200 ninja NFTs minted in the Soonaverse. Bringing their wisdom & superior fighting skills to IOTA in order to rid the world of the madness that is crypto dog coin chaos. Protectors of the sacred Tangle, the MEOWTA Clans fight to bring balance to the fee ridden cryptoverse. Joining forces in an effort to beat back the ponzi and comfort those trapped in the FOMO loop. This collection provides access into the Meowtaverse as well as the only access into the $KATZ token. Each NFT brings with them a wealth of utility to support bonus and reward in a gamified, interoperable ecosystem that involves tokens, airdrops, staking, gaming and more. \n\n\nThe future of the Meowtaverse is in your hands.","soonaverse","0x8bbade33b845c232908ff59ce3fc5d31fb7599db",true,true,2892,4180,40000000,0.03,"2022-04-29T14:00:00.000Z","MeowtaNFT","Meowta#9739","2022-04-18T12:50:46.130Z","2022-04-18T12:52:23.976Z"
"0e35c030-027b-11ed-8000-010000000000","Sick Iota Apes mint","It was a long and arduous journey. But the time has finally come.\n\nA Limited Edition of 100 Sick Iota Apes especially for the community. There will be no more Apes. No ape was generated, each one is unique in shape, color, contours etc. They were drawn entirely by myself, as you can see, of course, it is a BAYC style. But it was deliberately adjusted so that it cannot count as a copy.\n\nYou wanted a mint, so your're getting one.\n\nI have tried to give each Ape a personal touch, sometimes rather simple, sometimes very elaborate. It's definitely not BAYC, just to make that clear.\n\nThe rights to the NFT goes to the buyer with the purchase. Feel free to do whatever you want with it.\n\nPlease note: This is just art. If you dont't like it, don't buy it. After this Collection i will make something totaly new.\n\nThank all of you guys","soonaverse","0xcc017d4752696f3d81ed65ebd565ed4053bf6feb",true,true,95,95,250000000,0.1,"2022-07-17T17:00:00.000Z","@SickIotaApes","SickIotaApes#4699","2022-07-12T15:43:34.068Z","2022-07-12T15:43:34.068Z"
"0e751320-027b-11ed-8000-010000000000","IOTAHOLICS (PRE-SALE)","Iotaholics is a NFT PFP designed exclusively for sale within the IOTA Tangle network through the new Soonaverse platform. This project has been made with the idea of helping to make this community bigger and to make the profits become part of the community, both in the form of future investments and in the form of prizes for the participants. Taking advantage of the worldwide impact that NFTs are having and with the novelty of IOTA in this field, we believe it is the right time for our project to move forward. We strongly believe in IOTA, and the fact of being from the beginning, as pioneers, will undoubtedly give our IOTAHOLICS an added value.\n\nWe have set some short term goals that you can check in our website: presence in social networks, creation of an iotaholics club, etc. But the biggest goal is as we said before, to contribute to enlarge the IOTA community. We also want to do something for the people who have bet on us, and the first step (small step) will be to distribute 50% of the profits from the sale of the NFTs among those who have invested in IOTAHOLICS. This will be done in the form of a raffle, the bases of which will be decided as soon as we see the participation and the amount of the prize. The rest will be reinvested in new projects, gifts and benefits for the iotaholics community, which we know that will grow more and more.\n\nFinally we want to thank you for being here, for being part of this project. And remember... there is no yesterday, tomorrow is far away! Buy now! :D","soonaverse","0xceb05094fb7f3f480ed299e35bb9e1a171484252",true,true,1000,1000,50000000,0.1,"2022-03-09T17:00:17.162Z","@iotaholics","mizaru#6627","2022-03-08T18:06:43.163Z","2022-03-08T18:06:43.163Z"
"1d856db0-027b-11ed-8000-010000000000","Valids Scout Unit","Valids are a group of artifical units trying to establish a central controlled power in this decentralized universe.\n\nA Valids scout is a very simple unit for exploring planets and taking over nodes.\n\n- 2200 High Quality limited Actionfigures from the Shi-Universe\n\nSpecials: Only 100 Gold Figures, 100 Shield Figures and some other specials","soonaverse","0x7c1a450717c94761ec375399dfe08cd982d80725",true,true,2200,2200,100000000,0.05,"2022-05-22T18:00:00.000Z","@shiuniverse",,"2022-05-20T14:28:25.677Z","2022-05-20T14:58:41.766Z"
"23013cb0-027b-11ed-8000-010000000000","SHI - UNIVERSE | LIMITED ARTWORKS - ITEM 01 - NODE CONNECTOR","Limited High Quality Artworks in Print Quality of the SHI UNIVERSE\n- ITEM 01: NODE CONNECTOR\n- FOR COLLECTORS, TRADERS & SUPPORTERS\n- EVERY ARTWORK / ITEM IN 3 RARITIES \n- EACH ITEM - 220 NFTs (Regular 150, Rare 50, Ultra Rare 20)\n- BE PART OF THE SHI UNIVERSE NFT OWNER SQUAD","soonaverse","0xd80358d615dadb1895e123ca25c7e76cd769851c",true,true,220,220,25000000,0.05,"2022-04-19T10:00:00.000Z","Shiuniverse",,"2022-04-17T10:10:57.329Z","2022-04-17T10:31:21.507Z"
"238c8cc0-027b-11ed-8000-010000000000","THE 99 SHI-WEAS","This is the beginning of the Shi-Universe saga and a first colony drop called \nShi-Weas - the shimmer protector squad.\n\nA small group of 99 technology advanced weasel-like creatures. \nThese very fast big hearted small creatures sacrifice their life to protect and honor the tangle.\n\nRarity:\n- 18 Tactical Shi-Weas\n- 18 Moon Shi-Weas\n- 18 3D Glass Shi-Weas\n- 18 Kamikaze Shi-Weas\n- 12 Zen Legend Shi-Weas\n- 8 Wise Shi-Weas\n- 4 Mastermind Shi-Weas\n- 3 Third Eye Shi-Weas","soonaverse","0xfa11a49dc1ed74b07edb9aa98ed298822ec97706",true,true,99,99,250000000,0.05,"2022-03-08T18:00:00.069Z","Shiuniverse",,"2022-03-06T09:11:14.440Z","2022-03-06T14:57:05.108Z"
"23cca300-027b-11ed-8000-010000000000","Alien NFT (NF3)","The Alien NFT is a part of the SoonLabs Soonaverse NF3 OG Set. Owners benefit from an array of features infused into the NFT: Membership to the Soonaverse Hub, airdrops, category-specific (Soonanauts, Artifacts, and Aliens) airdrops, “members only” offers, future Soonaverse platform capabilities such as editing features, digital twins, sets, builders, staking and P2E compatibility. All membership rights and features transfer with the sale/ownership of the NFT…AND, if you purchase 1 NFT from each category the designs “interlock” into a unique image. We call it the NF3. NF3 owners receive 2x bonuses on airdrops, VIP Access to special edition NF3 only sales events, and free access to Soonaverse Services Team. If 4 of your NFTs' attributes match (Fauna, Water, Planets, and Backgrounds) your NF3 goes ULTRA giving you 5x bonuses on airdrops. If ALL of your NFTs' attributes match then your NF3 goes MEGA ULTRA and you get 50x bonuses on airdrops!!! There are only 10 of those in existence, so happy hunting!","soonaverse","0x1fae1a8558b57591c3de2aacc0d3df1802eff2ab",true,true,5000,5000,200000000,0.05,"2022-03-01T18:00:17.261Z","soon_labs",,"2022-02-25T02:00:03.000Z","2022-02-25T05:32:06.747Z"
"77d6c430-027b-11ed-8000-010000000000","Artifact NFT (NF3)","The Artifact NFT is a part of the SoonLabs Soonaverse NF3 OG Set. Owners benefit from an array of features infused into the NFT: Membership to the Soonaverse Hub, airdrops, category-specific (Soonanauts, Artifacts, and Aliens) airdrops, “members only” offers, future Soonaverse platform capabilities such as editing features, digital twins, sets, builders, staking and P2E compatibility. All membership rights and features transfer with the sale/ownership of the NFT…AND, if you purchase 1 NFT from each category the designs “interlock” into a unique image. We call it the NF3. NF3 owners receive 2x bonuses on airdrops, VIP Access to special edition NF3 only sales events, and free access to Soonaverse Services Team. If 4 of your NFTs' attributes match (Fauna, Water, Planets, and Backgrounds) your NF3 goes ULTRA giving you 5x bonuses on airdrops. If ALL of your NFTs' attributes match then your NF3 goes MEGA ULTRA and you get 50x bonuses on airdrops!!! There are only 10 of those in existence, so happy hunting!","soonaverse","0xdb47fa3d6cdc14910933d0074fba36a396771bfa",true,true,5000,5000,200000000,0.05,"2022-03-01T18:00:39.184Z","soon_labs",,"2022-02-25T01:05:50.000Z","2022-02-25T05:47:32.150Z"
"c2f236c0-027b-11ed-8000-010000000000","Soonanaut NFT (NF3)","The Soonanaut NFT is a part of the SoonLabs Soonaverse NF3 OG Set. Owners benefit from an array of features infused into the NFT: Membership to the Soonaverse Hub, airdrops, category-specific (Soonanauts, Artifacts, and Aliens) airdrops, “members only” offers, future Soonaverse platform capabilities such as editing features, digital twins, sets, builders, staking and P2E compatibility. All membership rights and features transfer with the sale/ownership of the NFT…AND, if you purchase 1 NFT from each category the designs “interlock” into a unique image. We call it the NF3. NF3 owners receive 2x bonuses on airdrops, VIP Access to special edition NF3 only sales events, and free access to Soonaverse Services Team. If 4 of your NFTs' attributes match (Fauna, Water, Planets, and Backgrounds) your NF3 goes ULTRA giving you 5x bonuses on airdrops. If ALL of your NFTs' attributes match then your NF3 goes MEGA ULTRA and you get 50x bonuses on airdrops!!! There are only 10 of those in existence, so happy hunting!","soonaverse","0xcbe28532602d67eec7c937c0037509d426f38223",true,true,5000,5000,200000000,0.05,"2022-03-01T18:00:31.889Z","soon_labs",,"2022-02-25T00:09:42.000Z","2022-02-25T02:09:42.538Z"
