id,trait,trait_label
"c85ff170-027a-11ed-8000-010000000000","gang-sign","Gang Sign"
"c86066a0-027a-11ed-8000-010000000000","tears","Tears"
"c860dbd0-027a-11ed-8000-010000000000","goatee","Goatee"
"c8615100-027a-11ed-8000-010000000000","mantle","Mantle"
"c861c630-027a-11ed-8000-010000000000","tan","Tan"
"c8623b60-027a-11ed-8000-010000000000","golden-tooth","Golden Tooth"
"c862b090-027a-11ed-8000-010000000000","orange","Orange"
"c86325c0-027a-11ed-8000-010000000000","sheikh","Sheikh"
"c863c200-027a-11ed-8000-010000000000","money","Money"
"c8643730-027a-11ed-8000-010000000000","crown","Crown"
"c864ac60-027a-11ed-8000-010000000000","gold","Gold"
"c86596c0-027a-11ed-8000-010000000000","farmer","Farmer"
"c8660bf0-027a-11ed-8000-010000000000","steampunk","Steampunk"
"c866f650-027a-11ed-8000-010000000000","no-accessory","No Accessory"
"c8679290-027a-11ed-8000-010000000000","oktoberfest","Oktoberfest"
"c86807c0-027a-11ed-8000-010000000000","monocle","Monocle"
"c8687cf0-027a-11ed-8000-010000000000","painting","Painting"
"c8696750-027a-11ed-8000-010000000000","cross-earring","Cross Earring"
"c869dc80-027a-11ed-8000-010000000000","happy","Happy"
"c86a51b0-027a-11ed-8000-010000000000","sailor","Sailor"
"c86ac6e0-027a-11ed-8000-010000000000","wheat","Wheat"
"c86b6320-027a-11ed-8000-010000000000","glasses","Glasses"
"c86bd850-027a-11ed-8000-010000000000","hat","Hat"
"c86c4d80-027a-11ed-8000-010000000000","blue","Blue"
"c86cc2b0-027a-11ed-8000-010000000000","smile","Smile"
"c86dad10-027a-11ed-8000-010000000000","t-shirt","T Shirt"
"c86fa8e0-027a-11ed-8000-010000000000","nose-ring","Nose Ring"
"c8701e10-027a-11ed-8000-010000000000","barret","Barret"
"c8709340-027a-11ed-8000-010000000000","sleepy","Sleepy"
"c8710870-027a-11ed-8000-010000000000","viking","Viking"
"c8717da0-027a-11ed-8000-010000000000","angry","Angry"
"c8726800-027a-11ed-8000-010000000000","rainbow","Rainbow"
"c8730440-027a-11ed-8000-010000000000","microphone","Microphone"
"c8737970-027a-11ed-8000-010000000000","diamond-grill","Diamond Grill"
"c87463d0-027a-11ed-8000-010000000000","fez","Fez"
"c874d900-027a-11ed-8000-010000000000","cream","Cream"
"c8754e30-027a-11ed-8000-010000000000","magenta","Magenta"
"c8763890-027a-11ed-8000-010000000000","shirt","Shirt"
"c876d4d0-027a-11ed-8000-010000000000","pink","Pink"
"c877bf30-027a-11ed-8000-010000000000","glass","Glass"
"c8783460-027a-11ed-8000-010000000000","gray","Gray"
"c87993f0-027a-11ed-8000-010000000000","leather-bracelet","Leather Bracelet"
"c87a0920-027a-11ed-8000-010000000000","leather-jacket","Leather Jacket"
"c87b1a90-027a-11ed-8000-010000000000","green","Green"
"c87b8fc0-027a-11ed-8000-010000000000","crystal","Crystal"
"c87c04f0-027a-11ed-8000-010000000000","beer","Beer"
"c87c7a20-027a-11ed-8000-010000000000","green-aviators","Green Aviators"
"c87cef50-027a-11ed-8000-010000000000","neon-bracelet","Neon Bracelet"
"c87f6050-027a-11ed-8000-010000000000","bullet","Bullet"
"c87fd580-027a-11ed-8000-010000000000","wallpaper","Wallpaper"
"c880bfe0-027a-11ed-8000-010000000000","kimono","Kimono"
"c8824680-027a-11ed-8000-010000000000","zebra","Zebra"
"c882bbb0-027a-11ed-8000-010000000000","octo-tanktop","Octo Tanktop"
"c883a610-027a-11ed-8000-010000000000","knife","Knife"
"c8849070-027a-11ed-8000-010000000000","grin","Grin"
"c8868c40-027a-11ed-8000-010000000000","pistol","Pistol"
"c888d630-027a-11ed-8000-010000000000","diamond-earring","Diamond Earring"
"c88ad200-027a-11ed-8000-010000000000","scepter","Scepter"
"c88db830-027a-11ed-8000-010000000000","army","Army"
"c88ea290-027a-11ed-8000-010000000000","golden-earring","Golden Earring"
"c88f8cf0-027a-11ed-8000-010000000000","top-hat","Top Hat"
"c8907750-027a-11ed-8000-010000000000","vr","Vr"
"c890ec80-027a-11ed-8000-010000000000","tricolor","Tricolor"
"c8930f60-027a-11ed-8000-010000000000","space","Space"
"c8946ef0-027a-11ed-8000-010000000000","bandana","Bandana"
"c895f590-027a-11ed-8000-010000000000","fruit-tanktop","Fruit Tanktop"
"c898b4b0-027a-11ed-8000-010000000000","headset","Headset"
"c89a3b50-027a-11ed-8000-010000000000","black","Black"
"c89b25b0-027a-11ed-8000-010000000000","golden-bracelet","Golden Bracelet"
"c89ef640-027a-11ed-8000-010000000000","cigar","Cigar"
"c8a278b0-027a-11ed-8000-010000000000","moustache","Moustache"
"c8a44d70-027a-11ed-8000-010000000000","aviators","Aviators"
"c8a4e9b0-027a-11ed-8000-010000000000","dizzy","Dizzy"
"c8a8ba40-027a-11ed-8000-010000000000","metal","Metal"
"c8ae5f90-027a-11ed-8000-010000000000","army-cap","Army Cap"
"c8b05b60-027a-11ed-8000-010000000000","squared-shirt","Squared Shirt"
"c8b0d090-027a-11ed-8000-010000000000","conical","Conical"
